"id","en","fr","es","ru","zh","de","bn","fa"
"admin","Administrator","Administrateur","","","","","","مدیران"
"bottom","Bottom","En bas","","","","","","پایین"
"btn_add_source","Add a source layer","Ajouter une couche source","","","","","","افزودن لایه اصلی"
"btn_add_view","Add view","Ajouter une vue","","","","","","افزودن نمایه"
"btn_cancel","Cancel","Annuler","","","","","","لغو "
"btn_close","Close","Fermer","","","","","","بستن"
"btn_confirm","Confirm","Confirmer","","","","","","تایید"
"btn_country","Select country","Sélectionnez le pays","","","","","","انتخاب کشور"
"btn_create","Create","Créer","","","","","","ایجاد"
"btn_delete","Delete","Supprimer","","","","","","حذف"
"btn_edit_source","Edit source","Editer une source","","","","","","تنظیم  منابع"
"btn_finish","Finish","Finir","","","","","","تمام"
"btn_upload","Upload","Téléverser","","","","","","آپلود"
"btn_fullscreen","Display the app in fullscreen mode","Mode plein écran","","","","","","نمایش برنامه بشکل صفحه کامل"
"btn_get_area_visible","Area of visible features","Superficie des objets visibles","","","","","","ساحه پدیده های قابل دید"
"btn_language","Language","Langue  ","","","","","","زبان"
"btn_login","Login window","Fenêtre d'identification","","","","","","صفحه ورودی "
"btn_opt_transparency","Transparency","Transparence","","","","","",""
"btn_opt_numeric","Filter by numeric value","Filtrer par valeur numerique","","","","","",""
"btn_opt_date","Filter date","Filtrer par date","","","","","",""
"btn_opt_delete","Remove this view","Supprimer cette vue","","","","","","حذف این نمایه"
"btn_opt_share","Share this view","Partager cette vue","","","","","",""
"btn_opt_delete_geojson","Delete","Supprimer","","","","","","حذف"
"btn_opt_download","Download the data","Télécharger les données","","","","","","دانلود معلومات"
"btn_opt_edit_config","Configure this view","Configurer la vue","","","","","","تنظیم این نمایه"
"btn_opt_edit_style","Set the style of this view","Configurer le style de cette vue","","","","","","تنظیم ستایل این نمایه"
"btn_opt_meta","Display metadata","Afficher les métadonnées ","","","","","","نمایش ابرداده"
"btn_opt_reset","Reset the view","Réinitialiser la vue","","","","","","تنظیم دوباره نمایش"
"btn_opt_screenshot","Take a screenshoot","Prendre une capture d'écran","","","","","","گرفتن تصویر"
"btn_opt_search","Search and filter","Rechercher et filtrer","","","","","","جستجو و فلتر"
"btn_opt_start_story","Read this story","Lire ce récit","","","","","","این تاریخ را بخوانید"
"btn_opt_zoom_all","Zoom to all features","Zoomer sur tous les éléments","","","","","","بزرگنمایی به همه پدیده ها"
"btn_opt_zoom_visible","Zoom to disiplayed features","Zoomer sur les éléments affichés","","","","","","بزرگنمایی به اندازه نمایش پدیده ها"
"btn_print","Print current","Imprimer","","","","","","پرنت صفحه فعلی"
"btn_reset","Reset","Réinitialiser","","","","","","تنظیم دوباره"
"btn_save","Save","Sauvegarder","","","","","","ذخیره"
"btn_send","Send","Envoyer","","","","","","ارسال"
"btn_sort_date","Date","Date","","","","","","تاریخ"
"btn_sort_desc","Description","Description","","","","","","توضیح"
"btn_sort_title","Title","Titre","","","","","","عنوان"
"btn_switchui","Toggle the color of the interface","Changer les couleurs de l'interface","","","","","","تغییر رنگ صفحه رابط"
"btn_tab_settings","Settings ","Préférences","","","","","","تنظیمات "
"btn_tab_tools","Toolbox","Boîte à outils","","","","","","جبعه ابزار"
"btn_tab_views","Views","Vues","","","","","","نمایه ها"
"btn_wms_creator","WMS","WMS","","","","","",""
"btn_theme_black","Switch theme : dark","Changer le thème : sombre","","","","","","تاریک"
"btn_theme_orig","Switch theme : clear","Changer le thème : clair","","","","","","صاف"
"btn_theme_sat","Switch theme : aerial","Changer le thème : imagerie aérienne","","","","","","هوایی"
"btn_update","Update  ","Mettre à jour","","","","","","تجدید"
"btn_zoom_in","Zoom in","Zoomer","","","","","","بزرگنمایی"
"btn_zoom_out","Zoom out","Dézoomer","","","","","","کوچک نمایی"
"categorical","Categorical","Catégorielle","","","","","","طبقه ایی"
"center","Center","Centre","","","","","","وسط"
"country","Country","Pays","","","","","","کشور"
"create","Create","Créer","","","","","","ایجاد"
"dev","Development","Dévelopement","","","","","","توسعه"
"env","Environment","Environnement","","","","","","محیط"
"error_no_layer","No source layer set","Pas de couche source attribuée","","","","","","لایه منبع ایجاد نشد"
"error_no_source","No source layer found","Pas de couche source trouvée","","","","","","منبع لایه مرتبط پیدا نشد"
"error_view_title_exists","This title already exists","Ce titre est déjà pris","","","","",""," عنوان از قبل موجود میباشد"
"error_view_title_short","The title is too short","Ce titre est trop court","","","","","","عنوان بسیار کوتاه است"
"exponential","Continuous","Continue","","","","","","پیوسته"
"ext","Extractive","Extractif","","","","","","مواد استخراجی"
"fold_view_legend","Legend","Légende","","","","","","علایم"
"fold_view_tools","Tools","Outils","","","","","","ابزار"
"fold_views_class","Filter views by classes","Filtrer les vues par classe","","","","","","فلتر نمایه ها به اساس صنف ها"
"fold_views_filter","Filter options","Filtres","","","","","","گزینه های فلتر"
"fold_views_sort","Sort views","Classer les vues","","","","","","مرتب سازی نمایه ها"
"inf","Infrastructure","Infrastructure","","","","","","زیر بنا"
"interval","Interval","Intervalle","","","","","","فاصله"
"layer","Layer","Couche","","","","","","لایه"
"left","Left","Gauche","","","","","","چپ"
"line","Line","Ligne","","","","","","خط"
"loading_img","Image loading, please wait ...","Chargement de l'image, veuillez patienter ...","","","","","","تصویر در حال اجرا، لطفا منتظر باشید..."
"login_cancel","Cancel","Annuler","","","","","","لغو"
"login_country","Project or country name in which the role applies","Projet ou nom du pays dans lequel le rôle s'applique","","","","","","نام پروژه یا کشور که در آن نقش عملی میشود"
"login_email","Email","Email","","","","","","آدرس الکترونیکی"
